"AI catastrophe","AI extinction","Nuclear catastrophe","Nuclear extinction","Non-anthropogenic catastrophe","Non-anthropogenic extinction","Total catastrophic risk","Total extinction risk"
20,5,2,0,0.1,0.01,2,2
1,1,1,1,1,1,1,1
5,20,32,28,2,13,26,15
15,0.1,20,0.9,8,1e-05,22,0.5
0.09,0.05,1,0.01,0.5,0.08,3,0.5
0.001,7e-04,10,5,1,0.01,10,2
5,1,30,18,40,25,10,5
17,7,6,4,4,3,16,8
50,5,50,5,5,1,10,5
0,0,6,0.08,80,0,90,0
10,5,6,6,0,9,9,9
10,0,30,9,4,2,37,9
13,4,16,14,0.2,0.2,10,4
10,10,6,0.5,0.3,0.25,40,15
40,40,80,80,35,30,45,40
10,0,60,60,75,40,85,60
3,1,15,5,5,0.05,15,2
2,2,7,5,6,7,10,5
1,0,1,0,0.4,0,2.8,4e-04
4,0.9,0.75,0.5,0.4,0.4,0.5,0.35
50,65,50,50,70,50,60,70
0,0,4,1,1,0,2,0
2,0.1,1.5,0.1,0.2,0.1,1,1
10,5,8,3,1,0.5,15,15
6,3,30,15,3,0.08,19,3
2,1,3,3,1,2,1,1
5,2,10,1,2,0.05,10,7
1,0,8,2,3,2,12,6
8,10,20,20,0.7,1,15,19
100,50,15,5,50,20,100,15
80,55,45,18,54,1.5,44,45
20,5,30,5,30,1,90,5
7,2,18,1,2,0.4,9,2
4,0.8,15,20,0.1,0.04,30,10
25,5,15,15,15,15,10,15
0.1,0.2,10,5,1,1,1,1
5,0,15,2,4,0,2,1
0.002,0.004,0.5,0.6,1e-04,0.001,0.2,0.3
40,0.01,20,15,10,5,10,20
20,7.5,5,2,85,33,85,33
4,1,8,1,1,1,15,16
3,6,10,13,8,9,9,13
0.01,0,0.2,0.01,0.07,0.05,1,0.05
6,6,25,8,9,6,18,12
15,15,10,8,2,1,10,3
50,35,40,15,1,3,60,20
30,20,65,65,10,0,50,25
5,5,0.03,0.03,0,0,1,1
4,3,15,4,10,3,3,1
3,1,5,1,1,0.5,5,2
5,5,10,1,0.1,0.01,25,5
2,0,10,0,2,0,100,0
1,3,25,30,10,15,60,10
70,0,40,50,20,0,15,0
1,0.1,10,1,10,0.05,10,1.5
15,5,90,18,5,0,75,7
1,0,20,5,30,15,50,10
NA,NA,NA,NA,NA,NA,NA,NA
30,30,30,30,25,30,25,25
14,19,35,21,17,13,12,6
18,8,5,0.03,0.2,0.01,7,2
100,170,100,120,130,140,240,250
10,2,33,10,50,20,40,25
1,1,1,1,3,3,5,5
1.5,1.1,1.8,0.6,1.1,0.1,2.5,2
1,1,8,1,1,1,5,2
5,3,10,8,5,3,10,6
25,25,15,15,0.5,0.1,35,25
8,2,8,5,5,2,35,15
10,0.2,30,3,1,0.5,10,10
15,17,0.5,0.1,2e-04,1e-05,2,1e-04
17,25,20,8,12,5,20,20
0.1,1,16,8,0.01,0,10,5
0,0,0.1,0.1,0.01,0.01,5,1
8,1,5,10,15,15,2,1
30,10,40,10,10,1,25,15
2,8,4,39,30,24,55,70
8,2,10,1,20,20,50,10
5,3,1,1,15,7,13,8
5e-06,5e-08,5e-04,5e-09,1e-04,1e-05,1e-04,1e-05
0.01,0,0.6,0.8,0.7,0.1,0.3,0.15
0,0,1,0,0,0,15,0
50,50,100,15,5,1,90,1
2.5,0.6,1.7,0.1,0.15,0,3.5,1.2
1e-05,1e-05,0.1,0.01,0.001,0,1,0.01
2,1,4,1,0,0,1.5,0.3
2,1,12,2,10,3,50,6
0.1,0.1,5,0.1,1,1,50,5
5,0,5,2,25,20,25,5
0,0,30,25,8,0,4,0
0,0,5,1,20,5,20,10
3,2,30,25,5,5,5,5
1e-05,1e-05,0.01,0.01,0.001,0.01,0.8,0.8
20,5,40,1,10,2,40,20
35,45,60,70,45,56,70,50
15,5,10,1,1,1,40,13
5,5,20,5,1,75,30,6
30,30,10,10,5,5,25,25
4,1,2,1,10,5,20,15
1,1,10,0.001,0.005,0.002,13,2
25,2,10,3e-04,12,4,49,20
20,10,10,0.1,0.1,0.1,10,3
0.2,0.1,20,5,5,0.5,5,1.5
0.1,0.25,20,21,2,5,2,5
1,1,10,1,1,1,30,2
2,0.2,15,3,0.01,0.01,10,5
2,4,0.05,2,0.01,0.01,3,0.5
16,7,35,20,20,11,40,20
2,0,20,15,8,10,100,6
0.004,0.002,0.5,0.09,0.003,0.003,0.25,0.45
75,15,12,2,0,0,99,33
6,5,15,10,0.01,1,15,8
4,2,5,1,1,0.01,20,10
7,1,6,1,1,1,10,8
10,1,5,0,2,0,57,6
0,1,5,1,1,1,2,1
6,5,1,3,7,10,25,10
3,1,10,1,0.001,0.01,10,0.01
5,4,20,12,9,10,15,5
6,2,3,1,3,1,5,2
2,1,25,5,10,1,25,10
0,0,15,0,30,25,30,25
2,0.5,2,1,0.005,0.002,10,7
5,5,1,0.03,1,0.56,7,2
1,1,1,1,1,1,2,1
6,5,15,10,3,2,10,4
0,0,10,0,5,0,10,10
30,10,50,40,20,15,30,25
1,1,30,20,70,25,80,40
67,77,40,87,0,0,65,67
7,10,10,1,0.05,0,10,2
55,27,35,20,20,30,15,15
0,0,3,0.1,1e-04,1e-04,5,0.2
5,3,20,1,0.5,0.3,5,1
5,2,10,1,0.03,0.03,3,2
0,2,5,5,50,50,50,25
0,0,10,1,1,0,5,1
3,3,0.01,0.01,0.05,0.05,1,5
1,0.1,1,0.1,0.007,0.001,5,0.5
8,3,20,5,2,2,10,5
15,3,5,0.3,0.4,0.04,9,6
5,2,2,0,3,1,6,2
10,0.3,55,8,10,2,10,6
5,2,25,10,10,5,25,12
6,3,4,4,3,0,2,0
35,8,30,35,10,5,5,3
0,0,35,2,40,20,45,20
1,1,0,0,5,0,5,0
1,0,12,0.5,8,1,12,0.2
1,1,8,7,8,5,17,15
15,10,0.5,0.5,1,0.001,5,10
20,0,35,30,15,10,20,20
29,16,36,22,1.5,1.7,17,22
0.2,0.02,10,1,0.1,0.01,30,1.5
6,3,10,4,5,1,15,3
3,5,15,0.5,3,0.9,3,0.09
10,5,30,1,0,0,6,7
0,0,50,3,2,4,7,3
22,13,40,25,16,13,33,18
30,5,10,5,5,5,50,5
5,1,15,1,1,0,2,1
85,0,85,0,90,0,85,0
50,35,60,40,13,25,75,70
0.01,0,4,1,0.5,0.05,5,1
0,0,20,8,0,0,8,4
15,15,30,50,0.5,0.01,2,1
1e-04,1e-04,2e-04,1e-04,1e-05,1e-05,1e-05,1e-05
5e-06,1e-08,3,0.03,0.001,1e-04,3,1
0.2,0.05,0.2,0.03,0.03,0.02,0.02,0.02
5,NA,10,NA,0.56,0.56,19,19
10,17,45,45,19,10,60,7
0.09,0.0033,0.6,0.6,2,2,4,4
0.1,0,2,0.1,0.1,0.1,0.1,0.1
0,0,8,4,2,1,10,3
5,5,10,0.03,3,0.3,20,12
3,0,6,2,1,0,2,1
0,0,5,0,6,1,2,0
7,5,25,7,7,5,35,10
10,10,20,15,2,2,15,15
2,0.005,45,20,5,1,5,15
5,1,10,5,1,1,10,5
0.005,0.001,1,0.05,4,0.5,3,0.5
10,5,2,1,2,1,2,1
5,2,0,0,15,3,6,2
10,10,10,10,5,5,5,1
2,2,5,2,10,1,30,1e-04
5,3,12,1,0.1,1e-04,15,3
10,5,20,2,0.001,1e-04,20,1
30,10,90,80,70,30,90,50
0.05,0.1,5,2,1,0.1,33,3.4
0.002,1e-05,2,1e-05,1,1e-05,3,1e-05
6,0.05,5,5,4,2,10,5
99,80,30,20,20,20,90,20
95,45,50,30,50,30,70,40
7,5,20,12,1,0,30,20
25,10,24,13,3,0.5,12,7
10,15,15,10,1,1,10,5
0.05,0.009,0.18,0.009,1e-05,9e-06,0.3,0.15
9,1,14,4,0.04,0.04,50,5
5,0,100,50,65,30,90,30
3,1,15,5,4,2,15,6
15,10,20,3,1,0.5,6,2
15,5,25,5,25,5,30,40
0,0,30,1,20,15,25,15
3,0.5,5,5,0.5,0.5,9,9
4,1,1,1,1,1,1,1
5,4.5,10,1,0.5,0.1,12,5
50,50,80,50,50,40,70,50
15,0,60,15,10,0,15,8
1,0.05,25,5,27,20,50,5
2,1,45,50,1,1,20,19
35,15,80,65,57,45,45,70
